outlay_category,outlay_subcategory,baseline_date,baseline_name,APB_flag,projected_fiscal_year,projected_year_number,baseline_projected_outlay,actual_outlay,legislative_outlay_change,adjusted_projection,projection_error,projection_error_pct_actual
Discretionary,Total Discretionary,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2003,8,632.2,824.3,201.1,833.3,9.0,1.1
Discretionary,Total Discretionary,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2004,9,651.2,895.1,255.4,906.6,11.5,1.3
Discretionary,Total Discretionary,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2005,10,670.7,968.5,312.5,983.2,14.7,1.5
Discretionary,Total Discretionary,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2006,11,690.9,1016.6,361.0,1051.9,35.2,3.5
Discretionary,Total Discretionary,1997-03-01,March 1997 Baseline (Pre-Policy),True,1997,1,548.5,547.0,2.8,551.3,4.3,0.8
Discretionary,Total Discretionary,1997-03-01,March 1997 Baseline (Pre-Policy),True,1998,2,544.8,552.0,12.4,557.1,5.1,0.9
Discretionary,Total Discretionary,1997-03-01,March 1997 Baseline (Pre-Policy),True,1999,3,562.2,572.1,23.0,585.2,13.1,2.3
Discretionary,Total Discretionary,1997-03-01,March 1997 Baseline (Pre-Policy),True,2000,4,579.4,614.6,41.5,620.8,6.2,1.0
Discretionary,Total Discretionary,1997-03-01,March 1997 Baseline (Pre-Policy),True,2001,5,596.7,649.0,52.1,648.8,-0.2,-0.0
Discretionary,Total Discretionary,1997-03-01,March 1997 Baseline (Pre-Policy),True,2002,6,614.6,734.0,121.7,736.3,2.4,0.3
Discretionary,Total Discretionary,1997-03-01,March 1997 Baseline (Pre-Policy),True,2003,7,633.1,824.3,199.3,832.3,8.0,1.0
Discretionary,Total Discretionary,1997-03-01,March 1997 Baseline (Pre-Policy),True,2004,8,652.0,895.1,253.5,905.6,10.5,1.2
Discretionary,Total Discretionary,1997-03-01,March 1997 Baseline (Pre-Policy),True,2005,9,672.2,968.5,310.6,982.8,14.3,1.5
Discretionary,Total Discretionary,1997-03-01,March 1997 Baseline (Pre-Policy),True,2006,10,693.1,1016.6,359.0,1052.1,35.5,3.5
Discretionary,Total Discretionary,1997-03-01,March 1997 Baseline (Pre-Policy),True,2007,11,714.5,1041.6,375.2,1089.8,48.2,4.6
Discretionary,Total Discretionary,1998-03-01,March 1998 Baseline,True,1998,1,557.6,552.0,1.9,559.5,7.5,1.4
Discretionary,Total Discretionary,1998-03-01,March 1998 Baseline,True,1999,2,561.1,572.1,23.9,585.0,12.9,2.3
Discretionary,Total Discretionary,1998-03-01,March 1998 Baseline,True,2000,3,564.7,614.6,55.2,619.9,5.2,0.9
Discretionary,Total Discretionary,1998-03-01,March 1998 Baseline,True,2001,4,564.1,649.0,83.4,647.5,-1.5,-0.2
Discretionary,Total Discretionary,1998-03-01,March 1998 Baseline,True,2002,5,560.3,734.0,174.9,735.3,1.3,0.2
Discretionary,Total Discretionary,1998-03-01,March 1998 Baseline,True,2003,6,576.0,824.3,254.1,830.1,5.8,0.7
Discretionary,Total Discretionary,1998-03-01,March 1998 Baseline,True,2004,7,592.2,895.1,310.0,902.2,7.1,0.8
Discretionary,Total Discretionary,1998-03-01,March 1998 Baseline,True,2005,8,608.7,968.5,368.8,977.5,9.0,0.9
Discretionary,Total Discretionary,1998-03-01,March 1998 Baseline,True,2006,9,625.8,1016.6,419.0,1044.8,28.2,2.8
Discretionary,Total Discretionary,1998-03-01,March 1998 Baseline,True,2007,10,643.3,1041.6,437.1,1080.4,38.8,3.7
Discretionary,Total Discretionary,1998-03-01,March 1998 Baseline,True,2008,11,661.3,1134.9,495.8,1157.1,22.2,2.0
Discretionary,Total Discretionary,1999-04-01,April 1999 Baseline,True,1999,1,574.1,572.1,3.7,577.8,5.7,1.0
Discretionary,Total Discretionary,1999-04-01,April 1999 Baseline,True,2000,2,572.6,614.6,46.1,618.7,4.0,0.7
Discretionary,Total Discretionary,1999-04-01,April 1999 Baseline,True,2001,3,572.5,649.0,75.7,648.3,-0.8,-0.1
Discretionary,Total Discretionary,1999-04-01,April 1999 Baseline,True,2002,4,568.3,734.0,167.3,735.6,1.7,0.2
Discretionary,Total Discretionary,1999-04-01,April 1999 Baseline,True,2003,5,583.0,824.3,246.4,829.4,5.1,0.6
Discretionary,Total Discretionary,1999-04-01,April 1999 Baseline,True,2004,6,598.1,895.1,302.1,900.2,5.2,0.6
Discretionary,Total Discretionary,1999-04-01,April 1999 Baseline,True,2005,7,613.7,968.5,360.7,974.4,5.8,0.6
Discretionary,Total Discretionary,1999-04-01,April 1999 Baseline,True,2006,8,629.7,1016.6,410.7,1040.3,23.7,2.3
Discretionary,Total Discretionary,1999-04-01,April 1999 Baseline,True,2007,9,646.0,1041.6,428.5,1074.5,32.9,3.2
Discretionary,Total Discretionary,1999-04-01,April 1999 Baseline,True,2008,10,662.8,1134.9,487.0,1149.8,14.9,1.3
Discretionary,Total Discretionary,1999-04-01,April 1999 Baseline,True,2009,11,680.1,1237.5,569.2,1249.2,11.7,0.9
Discretionary,Total Discretionary,2000-04-01,April 2000 Baseline,True,2000,1,603.1,614.6,13.6,616.6,2.0,0.3
Discretionary,Total Discretionary,2000-04-01,April 2000 Baseline,True,2001,2,579.2,649.0,68.2,647.4,-1.7,-0.3
Discretionary,Total Discretionary,2000-04-01,April 2000 Baseline,True,2002,3,570.9,734.0,164.4,735.4,1.4,0.2
Discretionary,Total Discretionary,2000-04-01,April 2000 Baseline,True,2003,4,585.1,824.3,243.5,828.6,4.2,0.5
Discretionary,Total Discretionary,2000-04-01,April 2000 Baseline,True,2004,5,599.7,895.1,299.1,898.8,3.7,0.4
Discretionary,Total Discretionary,2000-04-01,April 2000 Baseline,True,2005,6,614.7,968.5,357.6,972.3,3.8,0.4
Discretionary,Total Discretionary,2000-04-01,April 2000 Baseline,True,2006,7,630.1,1016.6,407.5,1037.6,21.0,2.1
Discretionary,Total Discretionary,2000-04-01,April 2000 Baseline,True,2007,8,645.9,1041.6,425.2,1071.1,29.5,2.8
Discretionary,Total Discretionary,2000-04-01,April 2000 Baseline,True,2008,9,662.0,1134.9,483.6,1145.6,10.7,0.9
Discretionary,Total Discretionary,2000-04-01,April 2000 Baseline,True,2009,10,678.6,1237.5,565.7,1244.3,6.8,0.5
Discretionary,Total Discretionary,2000-04-01,April 2000 Baseline,True,2010,11,695.5,1347.2,699.1,1394.6,47.4,3.5
Discretionary,Total Discretionary,2001-05-01,May 2001 Baseline,True,2001,1,642.6,649.0,1.5,644.1,-4.9,-0.8
Discretionary,Total Discretionary,2001-05-01,May 2001 Baseline,True,2002,2,678.5,734.0,50.2,728.8,-5.2,-0.7
Discretionary,Total Discretionary,2001-05-01,May 2001 Baseline,True,2003,3,707.0,824.3,120.1,827.1,2.8,0.3
Discretionary,Total Discretionary,2001-05-01,May 2001 Baseline,True,2004,4,727.3,895.1,171.0,898.3,3.2,0.4
Discretionary,Total Discretionary,2001-05-01,May 2001 Baseline,True,2005,5,748.4,968.5,222.3,970.7,2.2,0.2
Discretionary,Total Discretionary,2001-05-01,May 2001 Baseline,True,2006,6,763.0,1016.6,270.5,1033.5,16.9,1.7
Discretionary,Total Discretionary,2001-05-01,May 2001 Baseline,True,2007,7,778.5,1041.6,287.2,1065.7,24.1,2.3
Discretionary,Total Discretionary,2001-05-01,May 2001 Baseline,True,2008,8,800.6,1134.9,339.0,1139.7,4.8,0.4
Discretionary,Total Discretionary,2001-05-01,May 2001 Baseline,True,2009,9,820.8,1237.5,417.2,1238.0,0.5,0.0
Discretionary,Total Discretionary,2001-05-01,May 2001 Baseline,True,2010,10,841.4,1347.2,546.2,1387.7,40.5,3.0
Discretionary,Total Discretionary,2001-05-01,May 2001 Baseline,True,2011,11,866.4,1347.1,527.0,1393.4,46.2,3.4
Discretionary,Total Discretionary,2002-03-01,March 2002 Baseline,True,2002,1,730.8,734.0,5.9,736.8,2.8,0.4
Discretionary,Total Discretionary,2002-03-01,March 2002 Baseline,True,2003,2,761.2,824.3,70.7,831.9,7.6,0.9
Discretionary,Total Discretionary,2002-03-01,March 2002 Baseline,True,2004,3,783.9,895.1,119.3,903.2,8.1,0.9
Discretionary,Total Discretionary,2002-03-01,March 2002 Baseline,True,2005,4,806.3,968.5,168.4,974.7,6.1,0.6
Discretionary,Total Discretionary,2002-03-01,March 2002 Baseline,True,2006,5,822.4,1016.6,215.0,1037.4,20.7,2.0
Discretionary,Total Discretionary,2002-03-01,March 2002 Baseline,True,2007,6,839.5,1041.6,230.2,1069.8,28.2,2.7
Discretionary,Total Discretionary,2002-03-01,March 2002 Baseline,True,2008,7,863.8,1134.9,281.0,1144.9,10.0,0.9
Discretionary,Total Discretionary,2002-03-01,March 2002 Baseline,True,2009,8,885.8,1237.5,358.4,1244.2,6.7,0.5
Discretionary,Total Discretionary,2002-03-01,March 2002 Baseline,True,2010,9,908.3,1347.2,486.3,1394.6,47.4,3.5
Discretionary,Total Discretionary,2002-03-01,March 2002 Baseline,True,2011,10,935.1,1347.1,465.7,1400.7,53.6,4.0
Discretionary,Total Discretionary,2002-03-01,March 2002 Baseline,True,2012,11,950.8,1275.7,399.7,1350.5,74.8,5.9
Discretionary,Total Discretionary,2003-03-01,March 2003 Baseline,True,2003,1,804.7,824.3,33.3,838.0,13.6,1.7
Discretionary,Total Discretionary,2003-03-01,March 2003 Baseline,True,2004,2,837.1,895.1,70.3,907.3,12.3,1.4
Discretionary,Total Discretionary,2003-03-01,March 2003 Baseline,True,2005,3,853.8,968.5,119.5,973.2,4.7,0.5
Discretionary,Total Discretionary,2003-03-01,March 2003 Baseline,True,2006,4,867.7,1016.6,167.5,1035.2,18.6,1.8
Discretionary,Total Discretionary,2003-03-01,March 2003 Baseline,True,2007,5,886.2,1041.6,183.2,1069.4,27.8,2.7
Discretionary,Total Discretionary,2003-03-01,March 2003 Baseline,True,2008,6,911.2,1134.9,233.7,1144.9,10.1,0.9
Discretionary,Total Discretionary,2003-03-01,March 2003 Baseline,True,2009,7,935.6,1237.5,310.1,1245.7,8.2,0.7
Discretionary,Total Discretionary,2003-03-01,March 2003 Baseline,True,2010,8,961.1,1347.2,436.4,1397.5,50.4,3.7
Discretionary,Total Discretionary,2003-03-01,March 2003 Baseline,True,2011,9,991.4,1347.1,414.2,1405.6,58.5,4.3
Discretionary,Total Discretionary,2003-03-01,March 2003 Baseline,True,2012,10,1011.4,1275.7,347.6,1359.0,83.3,6.5
Discretionary,Total Discretionary,2003-03-01,March 2003 Baseline,True,2013,11,1043.1,1202.4,237.1,1280.2,77.9,6.5
Discretionary,Total Discretionary,2004-03-01,March 2004 Baseline,True,2004,1,895.0,895.1,0.5,895.5,0.5,0.1
Discretionary,Total Discretionary,2004-03-01,March 2004 Baseline,True,2005,2,935.6,968.5,31.6,967.1,-1.4,-0.1
Discretionary,Total Discretionary,2004-03-01,March 2004 Baseline,True,2006,3,955.5,1016.6,73.4,1028.9,12.3,1.2
Discretionary,Total Discretionary,2004-03-01,March 2004 Baseline,True,2007,4,972.6,1041.6,85.6,1058.2,16.6,1.6
Discretionary,Total Discretionary,2004-03-01,March 2004 Baseline,True,2008,5,997.7,1134.9,133.0,1130.7,-4.2,-0.4
Discretionary,Total Discretionary,2004-03-01,March 2004 Baseline,True,2009,6,1021.0,1237.5,206.7,1227.7,-9.9,-0.8
Discretionary,Total Discretionary,2004-03-01,March 2004 Baseline,True,2010,7,1044.8,1347.2,329.8,1374.5,27.4,2.0
Discretionary,Total Discretionary,2004-03-01,March 2004 Baseline,True,2011,8,1074.2,1347.1,304.1,1378.3,31.2,2.3
Discretionary,Total Discretionary,2004-03-01,March 2004 Baseline,True,2012,9,1090.8,1275.7,236.0,1326.8,51.1,4.0
Discretionary,Total Discretionary,2004-03-01,March 2004 Baseline,True,2013,10,1122.0,1202.4,122.5,1244.6,42.2,3.5
Discretionary,Total Discretionary,2004-03-01,March 2004 Baseline,True,2014,11,1149.5,1178.9,80.9,1230.4,51.5,4.4
Discretionary,Total Discretionary,2005-03-01,March 2005 Baseline,True,2005,1,929.5,968.5,34.7,964.2,-4.3,-0.4
Discretionary,Total Discretionary,2005-03-01,March 2005 Baseline,True,2006,2,914.8,1016.6,119.1,1033.8,17.2,1.7
Discretionary,Total Discretionary,2005-03-01,March 2005 Baseline,True,2007,3,920.6,1041.6,148.9,1069.5,27.9,2.7
Discretionary,Total Discretionary,2005-03-01,March 2005 Baseline,True,2008,4,940.8,1134.9,201.7,1142.5,7.7,0.7
Discretionary,Total Discretionary,2005-03-01,March 2005 Baseline,True,2009,5,959.9,1237.5,277.4,1237.3,-0.2,-0.0
Discretionary,Total Discretionary,2005-03-01,March 2005 Baseline,True,2010,6,980.1,1347.2,402.2,1382.3,35.2,2.6
Discretionary,Total Discretionary,2005-03-01,March 2005 Baseline,True,2011,7,1006.3,1347.1,378.4,1384.7,37.6,2.8
Discretionary,Total Discretionary,2005-03-01,March 2005 Baseline,True,2012,8,1021.8,1275.7,310.5,1332.3,56.6,4.4
Discretionary,Total Discretionary,2005-03-01,March 2005 Baseline,True,2013,9,1049.9,1202.4,198.8,1248.7,46.3,3.9
Discretionary,Total Discretionary,2005-03-01,March 2005 Baseline,True,2014,10,1074.9,1178.9,158.5,1233.4,54.5,4.6
Discretionary,Total Discretionary,2005-03-01,March 2005 Baseline,True,2015,11,1100.5,1172.1,118.6,1219.1,46.9,4.0
Discretionary,Total Discretionary,2006-03-01,March 2006 Baseline,True,2006,1,1002.1,1016.6,25.4,1027.5,10.9,1.1
Discretionary,Total Discretionary,2006-03-01,March 2006 Baseline,True,2007,2,999.2,1041.6,74.4,1073.6,32.0,3.1
Discretionary,Total Discretionary,2006-03-01,March 2006 Baseline,True,2008,3,1017.6,1134.9,129.1,1146.7,11.9,1.0
Discretionary,Total Discretionary,2006-03-01,March 2006 Baseline,True,2009,4,1038.4,1237.5,206.8,1245.2,7.6,0.6
Discretionary,Total Discretionary,2006-03-01,March 2006 Baseline,True,2010,5,1059.7,1347.2,331.6,1391.3,44.1,3.3
Discretionary,Total Discretionary,2006-03-01,March 2006 Baseline,True,2011,6,1085.9,1347.1,306.7,1392.6,45.4,3.4
Discretionary,Total Discretionary,2006-03-01,March 2006 Baseline,True,2012,7,1101.2,1275.7,238.5,1339.7,64.0,5.0
Discretionary,Total Discretionary,2006-03-01,March 2006 Baseline,True,2013,8,1130.9,1202.4,125.6,1256.4,54.1,4.5
Discretionary,Total Discretionary,2006-03-01,March 2006 Baseline,True,2014,9,1156.9,1178.9,84.6,1241.5,62.6,5.3
Discretionary,Total Discretionary,2006-03-01,March 2006 Baseline,True,2015,10,1184.4,1172.1,43.3,1227.7,55.6,4.7
Discretionary,Total Discretionary,2006-03-01,March 2006 Baseline,True,2016,11,1217.1,1185.2,26.8,1243.9,58.7,4.9
Discretionary,Total Discretionary,2007-03-01,March 2007 Baseline,True,2007,1,1029.5,1041.6,27.9,1057.3,15.7,1.5
Discretionary,Total Discretionary,2007-03-01,March 2007 Baseline,True,2008,2,1046.2,1134.9,100.0,1146.2,11.3,1.0
Discretionary,Total Discretionary,2007-03-01,March 2007 Baseline,True,2009,3,1062.3,1237.5,189.8,1252.1,14.6,1.2
Discretionary,Total Discretionary,2007-03-01,March 2007 Baseline,True,2010,4,1078.1,1347.2,321.4,1399.5,52.4,3.9
Discretionary,Total Discretionary,2007-03-01,March 2007 Baseline,True,2011,5,1099.9,1347.1,302.2,1402.1,55.0,4.1
Discretionary,Total Discretionary,2007-03-01,March 2007 Baseline,True,2012,6,1111.9,1275.7,235.6,1347.5,71.8,5.6
Discretionary,Total Discretionary,2007-03-01,March 2007 Baseline,True,2013,7,1140.1,1202.4,122.8,1262.9,60.6,5.0
Discretionary,Total Discretionary,2007-03-01,March 2007 Baseline,True,2014,8,1166.2,1178.9,81.9,1248.0,69.2,5.9
Discretionary,Total Discretionary,2007-03-01,March 2007 Baseline,True,2015,9,1193.8,1172.1,41.0,1234.8,62.7,5.3
Discretionary,Total Discretionary,2007-03-01,March 2007 Baseline,True,2016,10,1226.6,1185.2,24.5,1251.1,65.9,5.6
Discretionary,Total Discretionary,2007-03-01,March 2007 Baseline,True,2017,11,1250.4,1200.3,22.4,1272.9,72.6,6.1
Discretionary,Total Discretionary,2008-03-01,March 2008 Baseline,True,2008,1,1092.3,1134.9,38.3,1130.6,-4.3,-0.4
Discretionary,Total Discretionary,2008-03-01,March 2008 Baseline,True,2009,2,1121.6,1237.5,119.6,1241.2,3.6,0.3
Discretionary,Total Discretionary,2008-03-01,March 2008 Baseline,True,2010,3,1145.9,1347.2,248.8,1394.8,47.6,3.5
Discretionary,Total Discretionary,2008-03-01,March 2008 Baseline,True,2011,4,1171.0,1347.1,229.2,1400.2,53.1,3.9
Discretionary,Total Discretionary,2008-03-01,March 2008 Baseline,True,2012,5,1187.3,1275.7,161.0,1348.3,72.6,5.7
Discretionary,Total Discretionary,2008-03-01,March 2008 Baseline,True,2013,6,1217.7,1202.4,46.7,1264.4,62.1,5.2
Discretionary,Total Discretionary,2008-03-01,March 2008 Baseline,True,2014,7,1245.0,1178.9,4.3,1249.3,70.5,6.0
Discretionary,Total Discretionary,2008-03-01,March 2008 Baseline,True,2015,8,1274.2,1172.1,-38.1,1236.0,63.9,5.5
Discretionary,Total Discretionary,2008-03-01,March 2008 Baseline,True,2016,9,1309.4,1185.2,-55.6,1253.8,68.6,5.8
Discretionary,Total Discretionary,2008-03-01,March 2008 Baseline,True,2017,10,1336.4,1200.3,-59.5,1276.9,76.6,6.4
Discretionary,Total Discretionary,2008-03-01,March 2008 Baseline,True,2018,11,1362.9,1261.6,11.9,1374.8,113.2,9.0
Discretionary,Total Discretionary,2009-03-01,March 2009 Baseline,True,2009,1,1220.8,1237.5,29.7,1250.6,13.0,1.1
Discretionary,Total Discretionary,2009-03-01,March 2009 Baseline,True,2010,2,1302.4,1347.2,92.1,1394.5,47.3,3.5
Discretionary,Total Discretionary,2009-03-01,March 2009 Baseline,True,2011,3,1284.9,1347.1,118.7,1403.6,56.5,4.2
Discretionary,Total Discretionary,2009-03-01,March 2009 Baseline,True,2012,4,1240.1,1275.7,94.8,1334.9,59.1,4.6
Discretionary,Total Discretionary,2009-03-01,March 2009 Baseline,True,2013,5,1238.9,1202.4,-3.6,1235.2,32.9,2.7
Discretionary,Total Discretionary,2009-03-01,March 2009 Baseline,True,2014,6,1243.5,1178.9,-37.8,1205.7,26.9,2.3
Discretionary,Total Discretionary,2009-03-01,March 2009 Baseline,True,2015,7,1255.5,1172.1,-75.4,1180.1,8.0,0.7
Discretionary,Total Discretionary,2009-03-01,March 2009 Baseline,True,2016,8,1279.3,1185.2,-89.2,1190.1,4.8,0.4
Discretionary,Total Discretionary,2009-03-01,March 2009 Baseline,True,2017,9,1299.6,1200.3,-92.1,1207.5,7.3,0.6
Discretionary,Total Discretionary,2009-03-01,March 2009 Baseline,True,2018,10,1320.0,1261.6,-21.6,1298.4,36.8,2.9
Discretionary,Total Discretionary,2009-03-01,March 2009 Baseline,True,2019,11,1351.7,1337.6,7.0,1358.6,21.0,1.6
Discretionary,Total Discretionary,2010-03-01,Final March 2010 baseline,True,2010,1,1366.9,1347.2,5.2,1372.1,24.9,1.9
Discretionary,Total Discretionary,2010-03-01,Final March 2010 baseline,True,2011,2,1372.8,1347.1,15.7,1388.5,41.4,3.1
Discretionary,Total Discretionary,2010-03-01,Final March 2010 baseline,True,2012,3,1344.5,1275.7,-9.3,1335.2,59.5,4.7
Discretionary,Total Discretionary,2010-03-01,Final March 2010 baseline,True,2013,4,1345.2,1202.4,-106.2,1239.0,36.7,3.1
Discretionary,Total Discretionary,2010-03-01,Final March 2010 baseline,True,2014,5,1355.7,1178.9,-141.2,1214.5,35.6,3.0
Discretionary,Total Discretionary,2010-03-01,Final March 2010 baseline,True,2015,6,1372.2,1172.1,-178.7,1193.5,21.3,1.8
Discretionary,Total Discretionary,2010-03-01,Final March 2010 baseline,True,2016,7,1401.2,1185.2,-193.8,1207.4,22.2,1.9
Discretionary,Total Discretionary,2010-03-01,Final March 2010 baseline,True,2017,8,1424.7,1200.3,-197.7,1227.0,26.7,2.2
Discretionary,Total Discretionary,2010-03-01,Final March 2010 baseline,True,2018,9,1448.8,1261.6,-129.2,1319.6,58.0,4.6
Discretionary,Total Discretionary,2010-03-01,Final March 2010 baseline,True,2019,10,1484.4,1337.6,-103.7,1380.7,43.1,3.2
Discretionary,Total Discretionary,2010-03-01,Final March 2010 baseline,True,2020,11,1517.2,1627.8,148.1,1665.3,37.5,2.3
Discretionary,Total Discretionary,2011-03-01,March 2011 Baseline,True,2011,1,1361.4,1347.1,3.2,1364.5,17.4,1.3
Discretionary,Total Discretionary,2011-03-01,March 2011 Baseline,True,2012,2,1344.4,1275.7,-25.3,1319.2,43.5,3.4
Discretionary,Total Discretionary,2011-03-01,March 2011 Baseline,True,2013,3,1356.2,1202.4,-114.1,1242.0,39.7,3.3
Discretionary,Total Discretionary,2011-03-01,March 2011 Baseline,True,2014,4,1371.0,1178.9,-147.7,1223.3,44.5,3.8
Discretionary,Total Discretionary,2011-03-01,March 2011 Baseline,True,2015,5,1391.3,1172.1,-183.8,1207.4,35.3,3.0
Discretionary,Total Discretionary,2011-03-01,March 2011 Baseline,True,2016,6,1419.9,1185.2,-198.2,1221.7,36.5,3.1
Discretionary,Total Discretionary,2011-03-01,March 2011 Baseline,True,2017,7,1446.4,1200.3,-201.6,1244.8,44.5,3.7
Discretionary,Total Discretionary,2011-03-01,March 2011 Baseline,True,2018,8,1475.0,1261.6,-132.9,1342.1,80.5,6.4
Discretionary,Total Discretionary,2011-03-01,March 2011 Baseline,True,2019,9,1517.4,1337.6,-107.1,1410.3,72.7,5.4
Discretionary,Total Discretionary,2011-03-01,March 2011 Baseline,True,2020,10,1555.8,1627.8,144.8,1700.6,72.9,4.5
Discretionary,Total Discretionary,2011-03-01,March 2011 Baseline,True,2021,11,1594.3,1636.4,123.3,1717.6,81.2,5.0
Discretionary,Total Discretionary,2012-03-01,March 2012 Baseline,True,2012,1,1302.6,1275.7,0.0,1302.6,26.9,2.1
Discretionary,Total Discretionary,2012-03-01,March 2012 Baseline,True,2013,2,1218.5,1202.4,8.7,1227.3,24.9,2.1
Discretionary,Total Discretionary,2012-03-01,March 2012 Baseline,True,2014,3,1194.9,1178.9,23.1,1218.0,39.1,3.3
Discretionary,Total Discretionary,2012-03-01,March 2012 Baseline,True,2015,4,1198.5,1172.1,7.2,1205.7,33.5,2.9
Discretionary,Total Discretionary,2012-03-01,March 2012 Baseline,True,2016,5,1219.5,1185.2,5.0,1224.5,39.3,3.3
Discretionary,Total Discretionary,2012-03-01,March 2012 Baseline,True,2017,6,1233.2,1200.3,12.3,1245.5,45.2,3.8
Discretionary,Total Discretionary,2012-03-01,March 2012 Baseline,True,2018,7,1250.1,1261.6,89.7,1339.7,78.2,6.2
Discretionary,Total Discretionary,2012-03-01,March 2012 Baseline,True,2019,8,1282.6,1337.6,124.4,1407.1,69.5,5.2
Discretionary,Total Discretionary,2012-03-01,March 2012 Baseline,True,2020,9,1312.5,1627.8,384.5,1696.9,69.2,4.3
Discretionary,Total Discretionary,2012-03-01,March 2012 Baseline,True,2021,10,1342.9,1636.4,371.5,1714.3,77.9,4.8
Discretionary,Total Discretionary,2013-05-01,CBO May 2013 Baseline,True,2013,1,1212.7,1202.4,0.0,1212.7,10.4,0.9
Discretionary,Total Discretionary,2013-05-01,CBO May 2013 Baseline,True,2014,2,1168.1,1178.9,31.5,1199.7,20.8,1.8
Discretionary,Total Discretionary,2013-05-01,CBO May 2013 Baseline,True,2015,3,1187.0,1172.1,14.1,1201.1,28.9,2.5
Discretionary,Total Discretionary,2013-05-01,CBO May 2013 Baseline,True,2016,4,1205.7,1185.2,8.4,1214.1,28.9,2.4
Discretionary,Total Discretionary,2013-05-01,CBO May 2013 Baseline,True,2017,5,1229.5,1200.3,10.0,1239.4,39.1,3.3
Discretionary,Total Discretionary,2013-05-01,CBO May 2013 Baseline,True,2018,6,1250.4,1261.6,84.8,1335.1,73.6,5.8
Discretionary,Total Discretionary,2013-05-01,CBO May 2013 Baseline,True,2019,7,1285.8,1337.6,117.1,1402.8,65.2,4.9
Discretionary,Total Discretionary,2013-05-01,CBO May 2013 Baseline,True,2020,8,1316.0,1627.8,375.7,1691.7,63.9,3.9
Discretionary,Total Discretionary,2013-05-01,CBO May 2013 Baseline,True,2021,9,1347.0,1636.4,361.3,1708.3,71.9,4.4
Discretionary,Total Discretionary,2014-04-01,April 2014 Baseline,True,2014,1,1179.6,1178.9,0.1,1179.8,0.9,0.1
Discretionary,Total Discretionary,2014-04-01,April 2014 Baseline,True,2015,2,1188.0,1172.1,1.0,1189.0,16.9,1.4
Discretionary,Total Discretionary,2014-04-01,April 2014 Baseline,True,2016,3,1189.7,1185.2,16.7,1206.4,21.2,1.8
Discretionary,Total Discretionary,2014-04-01,April 2014 Baseline,True,2017,4,1192.5,1200.3,37.0,1229.5,29.2,2.4
Discretionary,Total Discretionary,2014-04-01,April 2014 Baseline,True,2018,5,1207.6,1261.6,119.4,1327.0,65.4,5.2
Discretionary,Total Discretionary,2014-04-01,April 2014 Baseline,True,2019,6,1236.6,1337.6,158.0,1394.6,57.0,4.3
Discretionary,Total Discretionary,2014-04-01,April 2014 Baseline,True,2020,7,1264.1,1627.8,420.1,1684.2,56.5,3.5
Discretionary,Total Discretionary,2014-04-01,April 2014 Baseline,True,2021,8,1291.2,1636.4,408.1,1699.2,62.9,3.8
Discretionary,Total Discretionary,2015-03-01,March 2015 Baseline,True,2015,1,1174.6,1172.1,0.0,1174.6,2.5,0.2
